large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,IP,event_content
MAJOR,2018-04-24,12,140.75,144,180,312.3333333,140,,,,MAJOR,ドラマ/青春
おちこぼれフルーツタルト,2020-07-26,7,533,372,9,1252.333333,693,7,1225.571429,1194,おちこぼれフルーツタルト,ドラマ/青春
見える子ちゃん,2021-08-13,7,766.5714286,419,29,1202.206897,795,,,,見える子ちゃん,コメディ/ギャグ
大正処女御伽話,2021-10-09,10,559.2,492.5,130,589.0692308,464,15,1187.4,875,大正処女御伽話,ドラマ/青春
大正処女御伽話,2021-10-09,10,559.2,492.5,130,589.0692308,464,15,1187.4,875,大正処女御伽話,恋愛/ラブコメ
アサルトリリィ,2019-12-07,9,243.3333333,196,74,195.3378378,124.5,,,,アサルトリリィ,アクション/バトル
まじもじるるも,2014-07-04,28,121.3928571,62,36,239.75,146.5,,,,まじもじるるも,ドラマ/青春
まじもじるるも,2014-07-04,28,121.3928571,62,36,239.75,146.5,,,,まじもじるるも,SF/ファンタジー
まじもじるるも,2014-07-04,28,121.3928571,62,36,239.75,146.5,,,,まじもじるるも,SF/ファンタジー
まじもじるるも,2014-07-04,28,121.3928571,62,36,239.75,146.5,,,,まじもじるるも,コメディ/ギャグ
回復術士のやり直し,2021-01-13,12,272.8333333,289.5,22,238.3636364,163.5,3,558.3333333,747,回復術士のやり直し,ドラマ/青春
回復術士のやり直し,2021-01-13,12,272.8333333,289.5,22,238.3636364,163.5,3,558.3333333,747,回復術士のやり直し,SF/ファンタジー
回復術士のやり直し,2021-01-13,12,272.8333333,289.5,22,238.3636364,163.5,3,558.3333333,747,回復術士のやり直し,SF/ファンタジー
魔法少女サイト,2018-03-16,41,318.3170732,246,75,459.12,186,,,,魔法少女サイト,SF/ファンタジー
魔法少女サイト,2018-03-16,41,318.3170732,246,75,459.12,186,,,,魔法少女サイト,SF/ファンタジー
魔法少女サイト,2018-03-16,41,318.3170732,246,75,459.12,186,,,,魔法少女サイト,SF/ファンタジー
ド級編隊エグゼロス,2020-06-21,24,340.2916667,304.5,33,552.3939394,446,22,795,404.5,ド級編隊エグゼロス,恋愛/ラブコメ
ド級編隊エグゼロス,2020-06-21,24,340.2916667,304.5,33,552.3939394,446,22,795,404.5,ド級編隊エグゼロス,SF/ファンタジー
ド級編隊エグゼロス,2020-06-21,24,340.2916667,304.5,33,552.3939394,446,22,795,404.5,ド級編隊エグゼロス,SF/ファンタジー
ド級編隊エグゼロス,2020-06-21,24,340.2916667,304.5,33,552.3939394,446,22,795,404.5,ド級編隊エグゼロス,コメディ/ギャグ
ド級編隊エグゼロス,2020-06-21,24,340.2916667,304.5,33,552.3939394,446,22,795,404.5,ド級編隊エグゼロス,コメディ/ギャグ
ド級編隊エグゼロス,2020-06-21,24,340.2916667,304.5,33,552.3939394,446,22,795,404.5,ド級編隊エグゼロス,アクション/バトル
はじめてのギャル,2017-06-23,128,200.484375,124,36,242.6944444,122,,,,はじめてのギャル,ドラマ/青春
はじめてのギャル,2017-06-23,128,200.484375,124,36,242.6944444,122,,,,はじめてのギャル,恋愛/ラブコメ
