large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,ip_type
可愛いだけじゃない式守さん,2022-03-26,46,1636.717391304348,935.5,165,3488.5393939393944,2105.0,87,2712.5517241379307,2662.0,漫画
るろうに剣心,2022-12-14,4,899.5,899.5,12,39368.0,18140.5,,,,漫画
革命機ヴァルヴレイヴ,2013-04-19,44,92.454545454545439,67.0,132,92.424242424242465,46.5,,,,アニメ
トリコ,2023-02-13,4,359.75,338.5,62,497.08064516129014,235.0,,,,漫画
結城友奈は勇者である,2014-10-17,31,324.64516129032262,267.0,62,155.32258064516122,83.5,,,,アニメ
ハイキュー!!,2012-11-20,16,89.5,89.5,240,234.3,135.5,,,,漫画
残響のテロル,2014-04-26,9,79.777777777777771,66.0,11,123.45454545454545,81.0,,,,アニメ
裏世界ピクニック,2021-04-07,1,363.0,363.0,112,1001.3124999999998,715.0,23,739.65217391304338,230.0,ライトノベル
ダンベル何キロ持てる?,2019-07-03,40,871.375,648.0,47,663.70212765957444,290.0,7,1314.0,504.0,漫画
いわかける! -Climbing Girls-,2020-11-17,2,71.5,71.5,66,288.60606060606068,235.0,,,,漫画
宇宙パトロールルル子,2016-04-08,39,115.92307692307692,71.0,61,211.78688524590166,95.0,,,,アニメ
ワンダーエッグ・プライオリティ,2021-01-13,25,1083.48,918.0,13,1098.1538461538462,760.0,,,,アニメ
銀魂,2013-03-23,24,827.00000000000011,752.0,280,230.48571428571429,138.0,,,,漫画
新米錬金術師の店舗経営,2022-10-27,10,335.9,354.5,7,1075.8571428571429,949.0,11,477.36363636363632,290.0,ライトノベル
GREAT PRETENDER,2020-05-29,15,254.60000000000002,226.0,2,150.5,150.5,,,,アニメ
迷宮ブラックカンパニー,2021-07-09,12,112.50000000000001,115.0,20,204.74999999999997,139.0,,,,漫画
山田くんとLv999の恋をする,2020-09-07,20,315.40000000000003,290.0,96,324.62499999999989,252.0,,,,漫画
シドニアの騎士,2014-03-22,24,56.791666666666671,53.0,6,17.333333333333332,4.5,,,,漫画
あまんちゅ!,2016-03-15,10,646.4,801.0,6,1296.6666666666667,859.0,,,,漫画
